summonerId,puuid
epJcsAJnC-3UktELYUOZh9efUYrcNwFBZOyctAWrhA69YcM,EjojY-DpXu0vCS6M3vmOw4Zf2i2rd7xAH57aVbL6ocIje5SI6VY1TtpveYCAHyz5eQany-ZGR_ORVQ
yjTCuMMDG0DdFaOSqiXDfG4uKEkvsQs9JPbgNuVL8drfg_hQ,tVAJBH3zUsExeWf93U9LmNPNINOiwNvZQuPqT2PXwlNnJW-GZhrNvdZzQafZLCKDKNOLedm1M3xGtw
tNz6JmF7xBi01BLv_oXRWEY_PWPAzkoZSONFWnmxnwA-eeA,yXIne27cvb61mpjDsstQ3TUe8m4KIDc5-ehpDlZpW0RQl8fCoE3SD6zfNsXsoGftyvgJ4kdDp08AFw
mDVqSi1YWkQuDwuF7K0TeYY3dJuIhbCsKBCpzik2BJh3D5Q,2ADMZWBJdZ1m5eBtTF4m7nYTVCIGIvevgH_pMEPnCZadOXeh3gG5nWiyMfqjEiQvqn6WhRwctRK3aw
RqJrLu49OwgbZGaNSqzAl9yvSZmZnTQkw4jjJODVmnrTtSA,8jLk71khjMc18LDjwrFIgGUhVkurDTROTkJvJ2IwgxRoLrgKH0AQNcbA0cV5cDO3A8M7ln0VA8YrHg
nuYlBTKsICxPP0qnnjvvuwCXp1Iqb7KqS5ZEREdiavdg_rTt,fDQ7PAl1P3Ub3VQWIJrrWq-3d424oMyE47nxlxWIt-tV8e414l-dGpl5ebcYisHCyC3864i34_nYIg
E_mHLDvFkRAQ10L2n9zT4zPrnGLcHERvyCxc2nx6fP6zCs4,W5zU4ykK4C-scnnOObaCtCc3xaOjMCsNOneH1GcRVWMVw3ldxe6BkBE1Og5QjegWm0Fq0so-yzRKvQ
OOfo9KIZ5Cj0GdVuqCLlUhAyXecFMo3Un5y_oYFXN5hiK-Kl11_gdjw6EQ,6z_umoIw_n4hStosnhXCJdRadjZyy05sGHt8r-4BusidZ-tBcph7bEF_3CXEKQayB1r9pKu8AmjSlA
Z5OAu3RWdV3cpq7Xy28lDdvMpzTokfNL0YntkpOPRZiDzH8,UhQYInqpHczBrZp8caqK9G0fe8zQL1lRqNFXNyDB3ZPNCBFQxKzdYvHRIZI_d80NAHJui6_GeEBpEw
bQZOyxB9_7UasRyEr2T7c_e9AGWsc5kmfL5iEpKPUAPOurg,RgJ6qAiXU9xKJ4NIATZAyvpxC_EeDL3BqVziBIe2ztdquuZT_65ICHjILViO77dnHdx-mMDkEGR8Jw
IbAhVjl6LJw1HQQh7ql2bD32AgyZ76mUnycuPSkUS_eHA7k,ZXkuqelKLMaoRFoYE4VuWWVZl4GQNSBB_f2nX1NRk4sm-krEJtPD-JQNVjVqw_Dt8juBg0l9AQ1FJg
7MOisxKG9oCKBAao3_5_m-NgluJLJ5IS8g0lnVv1e8z5Bys,ycs3DE0hDtWg2xaYWQhP7wXPv-jIU9xTi0xBAj81pSrIvlSk4_zEXMamXjA8yQpvdtOqYX82n2hjHA
mOZMdw0tnnJQfECMa-slPDfggs1AoeuBREuk7aC0lSccmxU,0gqY5X3nhyt1yPXUedWsoXuRJhtq47zSEhwBLh6quqTJZyuBMlhjgBzThHCIXwInlWWwIxvBCHMadg
He0EvIdz7hdqAYiwV41UeRGsrcFvNtZNdVvrlTSaDblq1jMHcPegH6joAg,Z6O-IRzf7nAIdHjfVCehIidoUCNt9HWyPUhbQmbjr4Fyqd8gH9xC5PUOiuYi0f4DL44Pp4RjxP1d4A
_J9m1O6MbFH_PUGVMeR7UHMPgw4Po5vk3eWMbYgDw1FRfoU,UAEDg0Qbdu-ERAETv1kQ3fkjlVTqkguULizTiJ4mTcnyLsDz-QN42CGviFxUWl39eGy2cHSda87aZw
t7HevvZcxpRqRhpd6FFqwCkc8qix5VIoC2V36nJqSwuOfGI,AckKow4-d8jd3VDkt1Ots43sQ95UdkZKFtPOenkK9130ppC1l_KumCOpH0YnTv3D9D8PaG-nkGKtpQ
